,word,freq.x,freq.y,percent.x,percent.y,keyness,p.value,log.ratio,x.vs.y
5624,volunteer,26,1,0.02,0.00,74.43,0.00000,6.66,x>y
4400,republicans,62,43,0.05,0.01,74.36,0.00000,2.49,x>y
2559,hope,90,94,0.08,0.02,73.68,0.00000,1.90,x>y
2594,how,273,549,0.24,0.12,72.71,0.00000,0.95,x>y
5474,unbelievable,2,193,0.00,0.04,72.38,0.00000,4.63,x<y
123,affordable,51,28,0.04,0.01,71.96,0.00000,2.82,x>y
5312,tim,50,27,0.04,0.01,71.29,0.00000,2.85,x>y
4987,still,67,54,0.06,0.01,71.03,0.00000,2.27,x>y
2375,gun,38,12,0.03,0.00,70.99,0.00000,3.62,x>y
2862,join,49,26,0.04,0.01,70.62,0.00000,2.87,x>y
230,and,4289,14385,3.76,3.24,70.42,0.00000,0.21,x>y
2410,happen,37,478,0.03,0.11,70.07,0.00000,1.73,x<y
6707,corrupt,0,153,0.00,0.03,70.03,0.00000,6.30,x<y
5678,we,2270,10659,1.99,2.40,69.23,0.00000,0.27,x<y
3412,mother,42,18,0.04,0.00,68.24,0.00000,3.18,x>y
7068,donors,0,149,0.00,0.03,68.20,0.00000,6.26,x<y
3511,never,112,922,0.10,0.21,68.18,0.00000,1.08,x<y
1328,deal,30,421,0.03,0.09,67.33,0.00000,1.85,x<y
81,administration,8,247,0.01,0.06,67.30,0.00000,2.99,x<y
7674,hell,0,146,0.00,0.03,66.82,0.00000,6.23,x<y
4803,skills,21,0,0.02,0.00,66.65,0.00000,7.35,x>y
3636,opponent,60,46,0.05,0.01,66.40,0.00000,2.34,x>y
3084,like,192,1338,0.17,0.30,65.94,0.00000,0.84,x<y
1889,excited,30,6,0.03,0.00,65.52,0.00000,4.28,x>y
2412,happening,8,242,0.01,0.05,65.34,0.00000,2.96,x<y
209,amazing,9,251,0.01,0.06,65.22,0.00000,2.84,x<y
132,again,78,716,0.07,0.16,65.22,0.00000,1.24,x<y
1342,debt,63,53,0.06,0.01,64.27,0.00000,2.21,x>y
6756,crooked,0,137,0.00,0.03,62.70,0.00000,6.14,x<y
3887,plans,50,33,0.04,0.01,62.24,0.00000,2.56,x>y
4687,service,57,45,0.05,0.01,61.52,0.00000,2.30,x>y
2502,high,75,79,0.07,0.02,60.82,0.00000,1.88,x>y
4619,scranton,26,4,0.02,0.00,60.79,0.00000,4.66,x>y
5778,won,28,386,0.02,0.09,60.63,0.00000,1.83,x<y
1592,divisive,19,0,0.02,0.00,60.30,0.00000,7.21,x>y
4686,served,27,5,0.02,0.00,60.25,0.00000,4.39,x>y
3489,need,185,343,0.16,0.08,60.21,0.00000,1.07,x>y
1830,equal,32,10,0.03,0.00,60.04,0.00000,3.64,x>y
4371,renewable,23,2,0.02,0.00,59.98,0.00000,5.48,x>y
881,chief,40,20,0.04,0.00,59.73,0.00000,2.96,x>y
